RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LBT;;LDL-6/44-LR;LDL-6/44-LR
LGPN;LBT-LD;;
LWO;LBT-2-LD;;
LJZ;LBT-LD;;
LRHU;LBT-LD;;
LRH;LBT-LD;;
LMAR;LBT-LD;;
L2742;LBT-LD;;
L2741;LBT-LD;;
L2636;LBT-LD;;
L2635;LBT-LD;;
LDS;LBT-LD;;
LD;LBT-2-LR;;
LD  G;LD-12-LR;;
L2630;LD-LR;;
L2632;LD-LR;;
L2629;LD-LR;;
L2631;LD-LR;;
L2628;LD-LR;;
L2626;LD-LR;;
L2625;LD-LR;;
L2627;LD-LR;;
LR;LD-1-LMEI;;
LMEI;LR-LRAI;;
LRAI;LMEI-2-BWG;;
L2499;LRAI-BWG;;
L2498;LRAI-BWG;;
LTHI;LRAI-BWG;;
L2495;LRAI-BWG;;
L2493;LRAI-BWG;;
L2494;LRAI-BWG;;
L2492;LRAI-BWG;;
LJEB;LRAI-BWG;;
L2491;LRAI-BWG;;
L2490;LRAI-BWG;;
BQMZ;LRAI-BWG;;
BMZ;LRAI-2-BWG;;
BWG;LRAI-2-BBIG;;
YBLBW;BWG-BBIG;;
B5122;BWG-BBIG;;
B  21;BWG-BBIG;;
BBIG;BWG-2-BBRK;;
B5022;BBIG-BBRK;;
BBAI;BBIG-BBRK;;
B5021;BBIG-BBRK;;
BBRK;BBIG-2-BBK;;
BBK;BBRK-2-BBEL;;
BBEL;;BBK-2-S-BSE;BBK-2-S-BSE
