RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HEBG;;FK-10-UL;FK-10-UL
HEBGO;HEBG-UL;;
HQEB;HEBG-UAR;;
UQAR;HEBG-UAR;;
YLHAE;HEBG-UAR;;
UAR;HEBG-UL;;
U 019;HEBG-UL;;
U 020;HEBG-UL;;
U 018;HEBG-UL;;
UUD;HEBG-UL;;
U 017;HEBG-UL;;
UHT;HEBG-302-UL;;
U 015;HEBG-UL;;
U 016;HEBG-UL;;
UBOD;HEBG-UL;;
UWIR;HEBG-UL;;
U 013;HEBG-UL;;
U 014;HEBG-UL;;
UBEU;HEBG-UL;;
UL;HEBG-202-UN;;
UHAU;UL-UN;;
U 011;UL-UN;;
U 012;UL-UN;;
UNDO;UL-UN;;
UBEW;UL-2-UBE;;
UBE;UL-1-UN;;
USOL;UL-1-UN;;
UGBH;UL-UN;;
UBD;UL-2-UN;;
UWIP;UL-UN;;
UNA;UL-UN;;
UWK;UL-3-UN;;
UWTH;UWK-UN;;
UN  N;UWK-UN;;
UN;UWK-2-USG Hlang;;
UN  A;UN-2-USG;;
UHRH;UN-1-USG;;
UGSB;UN-USG;;
UQBK;UN-USG;;
UBK;UN-2-USG;;
UROS;UBK-2-USG;;
UBEN;UBK-USG;;
UWAL;UBK-USG;;
USG;UBK-3-UBT;;
USTB;USG-UBT;;
URIE;USG-1-UBT;;
UBM;USG-1/11-UBT;;
UBT;USG-11/5-LRN;;
LWOR;UBT-LRN;;
LEL;UBT-2-LRN;;
LHFT;UBT-LRN;;
LER;UBT-LRN;;
LRN;UBT-2-LAG;;
LAMS;LRN-LAG;;
LWAN;LRN-LAG;;
LTT;LRN-1-LAG;;
LTTO;LRN-LAG;;
LZBN;LRN-LAG;;
LAG;LRN-2-LH;;
LAG O;LRN-2-LHW;;
LSUEA;LRN-3-LHAW;;
LHWW;LRN-LHAC;;
LHW;LRN-LHAC;;
LRO;LRN-LHAC;;
LHAC;;LRN-LH;LRN-LH
