RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BMIP;;BWHO-1/201-BSE;BWHO-1/201-BSE
BSE;BMIP-241/R-BSE B;;
BSE B;BSE-BBEL;;
BBEL;BSE-R-1-BBK;;
BBK;BBEL-1-BBRK;;
BBRK;BBK-1-BBIG;;
B5021;BBRK-BBIG;;
BBAI;BBRK-BBIG;;
B5022;BBRK-BBIG;;
BBIG;BBRK-1-BWG;;
B  21;BBIG-BWG;;
B5122;BBIG-BWG;;
YBLBW;BBIG-BWG;;
BWG;BBIG-1-LRAI;;
BMZ;BWG-1-LRAI;;
BQMZ;BWG-LRAI;;
L2490;BWG-LRAI;;
L2491;BWG-LRAI;;
LJEB;BWG-LRAI;;
L2492;BWG-LRAI;;
L2494;BWG-LRAI;;
L2493;BWG-LRAI;;
L2495;BWG-LRAI;;
LTHI;BWG-LRAI;;
L2498;BWG-LRAI;;
L2499;BWG-LRAI;;
LRAI;BWG-1-LMEI;;
LMEI;LRAI-LR;;
LR;LW-2-LD;;
L2627;LR-LD;;
L2625;LR-LD;;
L2626;LR-LD;;
L2628;LR-LD;;
L2631;LR-LD;;
L2629;LR-LD;;
L2632;LR-LD;;
L2630;LR-LD;;
LD  G;LR-13-LD;;
LD;LR-3-LBT;;
LDS;LD-LBT;;
L2635;LD-LBT;;
L2636;LD-LBT;;
L2741;LD-LBT;;
L2742;LD-LBT;;
LMAR;LD-LBT;;
LRH;LD-LBT;;
LRHU;LD-LBT;;
LJZ;LD-LBT;;
LWO;LD-1-LBT;;
LGPN;LD-LBT;;
LBT;LD-45/1-LH;;
LBTA;LBT-LH;;
L7161;LBT-LH;;
LROI;LBT-7101-LH;;
L7169;LBT-LH;;
LBN;LBT-LH;;
L7172;LBT-LH;;
L7175;LBT-LH;;
L7268;LBT-LH;;
LLBG;LBT-7201-LH;;
L7271;LBT-LH;;
L7274;LBT-LH;;
L7277;LBT-LH;;
LHM;LBT-LH;;
L7280;LBT-LH;;
L7473;LBT-LH;;
L7472;LBT-LH;;
LHGB;LBT-7401-LHG;;
LHG M;LBT-149-LHGU;;
LHG U;LHGM-149/38-LHG;;
LHG;;LHGU-38-LHAL(6349);LHGU-38-LHAL(6349)
