RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
US;;UHR-2618-UGW;UHR-2618-UGW
USAP;US-UGW;;
U2546;US-UGW;;
U2544;US-UGW;;
U2445;US-UGW;;
U2443;US-UGW;;
URS;US-2402-UGW;;
UR;US-2302-UGW;;
UR  G;US-2202-UGW;;
UUS;US-UGW;;
U2137;US-UGW;;
U2135;US-UGW;;
U2138;US-UGW;;
U2136;US-UGW;;
UZE;US-UGW;;
UO;US-2102-UGW;;
U2033;US-UGW;;
U2031;US-UGW;;
UKA;US-UGW;;
U2032;US-UGW;;
U2034;US-UGW;;
USCH;US-UGW;;
U2029;US-UGW;;
U2027;US-UGW;;
U2028;US-UGW;;
U2030;US-UGW;;
UROT;US-UGW;;
UGW;UO-2-UGHS;;
U0324;UGW-UGHS;;
U0322;UGW-UGHS;;
U0323;UGW-UGHS;;
U0321;UGW-UGHS;;
UJP;UGW-UGHS;;
UJS;UGW-2-UGHS;;
U0320;UGW-UGHS;;
U0318;UGW-UGHS;;
UJZ;UGW-UGHS;;
U0316;UGW-UGHS;;
U0314;UGW-UGHS;;
U0319;UGW-UGHS;;
U0317;UGW-UGHS;;
UPF;UGW-UGHS;;
U0215;UGW-UGHS;;
U0213;UGW-UGHS;;
U0212;UGW-UGHS;;
U0210;UGW-UGHS;;
U0211;UGW-UGHS;;
U0209;UGW-UGHS;;
UDG;UGW-2-UGHS;;
U0208;UGW-UGHS;;
U0206;UGW-UGHS;;
U0107;UGW-UGHS;;
U0105;UGW-UGHS;;
UCB;UGW-1-UGHS;;
U0104;UGW-UGHS;;
U0102;UGW-UGHS;;
U0103;UGW-UGHS;;
U0101;UGW-UGHS;;
UGHS;UGW-USK;;
UQSK;UGW-USK;;
UGHO;UGW-UNM;;
USK;UGH-UNM;;
UKO;USK-5401-UNM;;
USPF;USK-UNM;;
UNM;USK-524-UW;;
U5226;UNM-UW;;
U5223;UNM-UW;;
U5222;UNM-UW;;
U5219;UNM-UW;;
U5016;UNM-UW;;
U5018;UNM-UW;;
ULL;UNM-UW;;
U5017;UNM-UW;;
U5015;UNM-UW;;
U5012;UNM-UW;;
U5011;UNM-UW;;
UW;UNM-502-LGC;;
LB915;UW-LGC;;
LB906;UW-LGC;;
LB905;UW-LGC;;
LA806;UW-LGC;;
LB805;UW-LGC;;
LA706;UW-LGC;;
LGC;UW-405-LH;;
L 244;LGC-LMG;;
L 245;LGC-LMG;;
LLWS;LGC-LMG;;
LLWN;LGC-LMG;;
LMG G;LGC-11-LMG(6810);;
LMG;LMGG(6810)-2-LHAD;;
LSP;LMG-1-LHAD;;
LHAD;LMG-2-LHAT(6352);;
L9334;LHAD-LHAT;;
LHAT;LHAD(6352)-LHG(6350);;
LHG W;LHAT-207-LHGY(6350);;
LHG Y;LHGW(6350)-207-LHG;;
LHG;LHGW(6350)-39LHG;;
LHG U;;LHG-39-LHGM;LHG-39-LHGM
