RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AM  S;;ABLZ-2007-AM  W(1280-1);ABLZ-2007-AM  W(1280-1)
AM  W;AM  S(1280-1)-AM  N(1280-1);;
AM  N;AM  W(1280-1)-AM  O(1280-1);;
AM  O;AM  N(1280-1)-2010/1038-AMD(1280-1);;
AMD;AM  O(1280-1)-AHAR(1280);;
A191B;AMD-AHAR(1280-1);;
AQM G;AM-AHAR;;
A192A;AMD-AHAR(1280-1);;
A193H;AMD-AHAR(1280-1);;
A195B;AMD-AHAR(1280-1);;
A194A;AMD-AHAR(1280-1);;
AHAR;AMD(1280)-029-AVL(1280);;
A503B;AHAR-AWLBA(1280-1);;
A502A;AHAR-AWLBA(1280-1);;
A505B;AHAR-AWLBA(1280-1);;
A504A;AHAR-AWLBA(1280-1);;
AWLBS;AHAR-AWLBA;;
A506A;AHAR-AWLBA(1280-1);;
AWLBA;AHAR(1280)-AVL(1280);;
A511B;AWLBA-AVL(1280-1);;
A510A;AWLBA-AVL(1280-1) Gz;;
AVL;AHAR(1280)-AH(2200);;
A415H;AVL-AH;;
ANEB;AVL-AH;;
A417H;AVL-AH;;
A419H;AVL-AH;;
A416H;AVL-AH;;
A421A;AVL-AH;;
A418H;AVL-AH;;
A420H;AVL-AH;;
AH;ANEB-412/566-AAR U1;;
A101D;AH-AAR;;
A103D;AH-AAR;;
A1103;AH-AAR;;
A104H;AH-AAR;;
A1104;AH-AAR;;
ADF;AH-AAR;;
A105S;AH-AAR;;
A1105;AH-AAR;;
A106D;AH-AAR;;
A1106;AH-AAR;;
A108D;AH-AAR;;
ASTZ;AH-AAR;;
A109R;AH-AAR;;
A111R;AH-AAR;;
A112S;AH-AAR;;
A113R;AH-AAR;;
A114R;AH-AAR;;
A115R;AH-AAR;;
A116R;AH-AAR;;
AAR;AH-ALA;;
AA  G;AAR-306-ALA(1232-1);;
ALA;AA G(1232-1)-ALAA(1232-1);;
ALAA;ALA(1232-1)-AEL(1220-1);;
A027A;ALA-AEL;;
A028K;ALA-AEL;;
AE  F;AA-AEL;;
AE  O;AA-405-AEL;;
AE  N;AA-2-AEL;;
AQE;AE-AP;;
A031A;AE N-AP;;
A032K;AE N-AP;;
A033A;AE N-AP;;
A034K;AE N-AP;;
AP;AA-4-ATM;;
A035A;AP-ATM;;
A037A;AP-ATM;;
A036K;AP-ATM;;
APD;AP-ATM;;
A038K;AP-ATM;;
A039A;AP-ATM;;
A040K;AP-ATM;;
ATM;AP-2-AEL;;
A043A;ATM-AEL;;
A045A;ATM-AEL;;
A042T;ATM-AEL;;
A047A;ATM-AEL;;
A44EL;ATM-AEL;;
A049A;ATM-AEL;;
A046K;ATM-AEL;;
AEL;AH-101-AEL N;;
AEL N;AEL-111-AN;;
AHOT;AEL-AN;;
A051A;AEL-ADH;;
A052K;AEL-ADH;;
ADH;AEL-2-AN;;
A061W;ADH-AWST;;
A062A;ADH-AWST;;
AWST;AEL-1-AN;;
A071A;AWST-ABRS;;
A072K;AWST-ABRS;;
ABRS;AEL-201-AN;;
A081A;ABST-AN;;
A082K;ABST-AN;;
A083A;ABST-AN;;
A084K;ABST-AN;;
AN;AEL-4/15-AN G;;
AN  G;AN-15-AF;;
A076F;AN-AR;;
A075N;AN-AR;;
ANF;AN-501-AF;;
A077N;AN-AR;;
A078F;AN-AR;;
ABM S;AN-AR;;
ABM N;AN-AR;;
AON;AN-102/173/080-AR H173;;
AR;AN-080/081/003-AF;;
A083N;AR-AOS;;
A084F;AR-AOS;;
A85OW;AR-AOS;;
AOS;AN-501-AF;;
A087N;AOS-ASW;;
A086S;AOS-ASW;;
ASW;AOS-801-AF;;
ASY;ASW-AJ;;
A089N;ASW-AJ;;
A088F;ASW-AJ;;
AJ;AN-732-AF;;
A091N;AJ-AFW;;
A090F;AJ-AFW;;
ATP;AJ-AFW;;
AFW;ASW-203/206-AXFW U1;;
AFR;AFW-XDPA;;
A099F;AFR-XDPA;;
A096P;AFR-XDPA;;
AXFW;AFR-XDPA;;
