RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FKW;;FKW-504-FKWNB;FKW-504-FKWNB
FKWK;FKW-FKWNB;;
FKWNB;FKW-FKWNA;;
FKWNA;FKWNB-FIH;;
F198A;FKWNA-FIH;;
F199A;FKWNA-FIH;;
F188B;FKWNA-FIH;;
F189A;FKWNA-FIH;;
FIH;FKWNA-103-FLUT;;
FQIH;FIH-FLUT;;
FLUT;FIH-FKAT;;
FKAT;FLUT-FLIP;;
FLIP;FKAT-HJD;;
YHFJL;FKW-HG;;
HJD;FKW-702-HG;;
H712S;FKW-HG;;
H711J;FKW-HG;;
H683M;FKW-HG;;
H633M;FKW-HG;;
HSIK;FKW-HG(1733);;
HG;FKW-9-HORX;;
H626N;HG-HNTH;;
H207G;HG-HNTH;;
HNTH;HG(1733)-53-HORX;;
H254N;HNTH-HORX;;
H204S;HNTH-HORX;;
HSUH;HNTH-HORX;;
H159S;HNTH-HORX;;
H109N;HNTH-HORX;;
HEDM;HNTH-HORX;;
H578E;HNTH-HORX;;
H528E;HNTH-HORX;;
HAH;HNTH-HORX;;
HORX;HG-502-HH;;
HGE;HORX-HH;;
HNE;HORX-HH;;
HAL;HORX-302-HH;;
HDI;HORX-HH;;
H253D;HORX-HH;;
H203S;HORX-HH;;
H251D;HORX-HH;;
H201S;HORX-HH;;
HSOR;HORX-HH;;
HESR;HORX-102-HH;;
HGIF;HORX-HH;;
HRIT;HORX-HH;;
H993R;HORX-HH;;
H983R;HORX-HH;;
HHML;HORX-715/415-HWU(1733-2);;
HWU;HORX-415-HH(1733-2);;
HHBI;HORX-724-HH;;
HH;HWU(1733)-13B/469-HBUG(1700);;
HBUG;HH(1700)-HWUN;;
H432H;HH-HLTA;;
H433L;HH-HLTA;;
HLTA;HH(1700)-HSR O(1701);;
HSR O;;HLTA(1701-1)-102-HSR(1750-4);HLTA(1701-1)-102-HSR(1750-4)
