RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
ESIG;;FHG-702-EKT;FHG-702-EKT
ESW;ESIG-602-EFP;;
ENHA;ESIG-EFP;;
EHTG;ESIG-501-EFP;;
EKT G;ESIG-102-EFP;;
EKT;ESIG-1-EFP;;
EEHS;ESIG-EFP;;
E2340;ESIG-EFP;;
E2339;ESIG-EFP;;
E2338;ESIG-EFP;;
ELTF;ESIG-EFP;;
E2337;ESIG-EFP;;
E2336;ESIG-EFP;;
EWSE;ESIG-2-EFP;;
E2334;ESIG-EFP;;
E2335;ESIG-EFP;;
E2333;ESIG-EFP;;
E2332;ESIG-EFP;;
E31A;ESIG-EFP;;
E30A;ESIG-EFP;;
E29A;ESIG-EFP;;
EKHU;ESIG-EFP;;
EA;EKT-2-EFP;;
EMEG;EKT-102-EFP;;
EGVB;EKT-1-EFP;;
E942F;EKT-EFP;;
E941G;EKT-EFP;;
EFP;EKT-1-EHG;;
E928P;EFP-EHG;;
E927F;EFP-EHG;;
E926P;EFP-EHG;;
E923F;EFP-EHG;;
E922A;EFP-EHG;;
E921A;EFP-EHG;;
EPLT;EFP-801-831-EHG;;
E1416;EFP-EHG;;
E1417;EFP-EHG;;
EWHL;EFP-3-EHG;;
E997P;EFP-EHG;;
EMKE;EFP-EHG;;
E994H;EFP-EHG;;
E995P;EFP-EHG;;
E993P;EFP-EHG;;
EALN;EFP-EHG;;
E992H;EFP-EHG;;
E990;EFP-EHG;;
E991;EFP-EHG;;
E988;EFP-EHG;;
E989;EFP-EHG;;
ENCH;EFP-EHG;;
ELE;EFP-102-142-EHG H1;;
EHOG;EFP-041-001-EHG;;
E980A;EFP-EHG;;
EBST;EFP-EHG;;
E981A;EFP-EHG;;
E978;EFP-EHG;;
EHGH;EFP-401-EHG;;
EHGK;EFP-301-EHGV;;
EHGS;EHGK-EHGV;;
ERWH;EHGK-EHGV;;
EHGV;;EHGK-503-EHGVF(2400);EHGK-503-EHGVF(2400)
