RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFU;FFU_N-4-FFU_B-1733;;
FFU B;FFU-FNF_N-1733/3600;;
F425A;FFU_S-FNF_N;;
F426A;FFU_S-FNF_N;;
F687B;FFU_B-FNF_N;;
F684A;FFU_B-FNF_N;;
F685A;FFU_B-FNF_N;;
F682B;FFU_B-FNF_N;;
F683A;FFU_B-FNF_N;;
FNF N;FFU-642-FNF;;
FNF;FNF_N-602-FNFS;;
FNFS;FNF-FFD;;
F692A;FNFS-FFD;;
F693B;FNFS-FFD;;
FFD;FNFS-2-FSUEZ;;
F087A;FFD-FSUEZ;;
F086A;FFD-FSUEZ;;
F105D;FFD-FSUEZ;;
F202E;FKA-FSUEZ;;
F103F;FFD-FSUEZ;;
FSUEZ;FFD-FSUE;;
FSUE;FSUEZ-204-FSA;;
F225A;FSUE-FSA;;
F224A;FSUE-FSA;;
F223B;FSUE-FSA;;
F222B;FSUE-FSA;;
FSA;FSUE-103-FBSS;;
F175A;FSA-FBSS;;
F176A;FSA-FBSS;;
F174A;FSA-FBSS;;
F173A;FSA-FBSS;;
F172A;FSA-FBSS;;
FBSS;FSA-801-FWAE;;
F787A;FBSS-FWAE;;
F786A;FBSS-FWAE;;
F785A;FBSS-FWAE;;
F784A;FBSS-FWAE;;
F783A;FBSS-FWAE;;
F782A;FBSS-FWAE;;
FWAE;FBSS-701-FWIR;;
F775A;FWAE-FWIR;;
F774A;FWAE-FWIR;;
F773A;FWAE-FWIR;;
F772A;FWAE-FWIR;;
FWIR;FWAE-602-FGEL;;
F597A;FWIR-FGEL;;
F595A;FWIR-FGEL;;
F594A;FWIR-FGEL;;
FHAI;FWIR-FGEL;;
F593B;FWIR-FGEL;;
F592B;FWIR-FGEL;;
F596A;FWIR-FGEL;;
FGEL;FWIR-502-FHME;;
FHME;FGEL-303-FSLB;;
F544A;FHME-FSLB;;
F543A;FHME-FSLB;;
F542A;FHME-FSLB;;
F541A;FHME-FSLB;;
FNMI;FHME-FSLB;;
F254B;FHME-FSLB;;
F253A;FHME-FSLB;;
F252A;FHME-FSLB;;
F251A;FHME-FSLB;;
FSLB;FHME-201-FWFG;;
F248A;FSLB-FWFG;;
F247A;FSLB-FWFG;;
F287A;FSLB-FWFG;;
F246A;FSLB-FWFG;;
F245A;FSLB-FWFG;;
FROD;FSLB-1-FWFG;;
F244A;FSLB-FWFG;;
F243A;FSLB-FWFG;;
F242A;FSLB-FWFG;;
F241A;FSLB-FWFG;;
FWFG;FSLB-604-FRW-3600/3673;;
FRW;FWFG-FGK;;
F716A;FRW-FGK;;
F715B;FRW-FGK;;
FGK;FRW-702-FKLM-Gz;;
FQKL;FGK-FKLM;;
FKLM;FGK-802-FDET;;
F874A;FKLM-FDET;;
F873A;FKLM-FDET;;
FDET;FKLM-1-FKO;;
FRS;FDET-FKO;;
F944B;FDET-FKO;;
FKO;FDET-1-FSTE;;
FSTE;FKO-973-FMAS;;
FMAA;FSTE-FSTK;;
FSTK;FMAA-1-FBA;;
F016B;FSTK-FBA;;
FQBA;FSTK-2-FBA;;
F015B;FSTK-FBA;;
FBA;FSTK-1-FDI;;
F009E;FBA-FDI;;
FHER;FBA-1-FDI;;
F010E;FBA-FDI;;
FAT;FBA-2-FDI;;
FDI;FBA-2-FMES;;
FMES;FDI-1-FDK;;
F002D;FMES-FDK;;
F001D;FMES-FDK;;
FDK;;FMES-2-FDN-3557;FMES-2-FDN-3557
