RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HG  G;;HNTH-112-HG;HNTH-112-HG
HG;HNTH(1732-1)-6-HEBG;;
HGRN;HG(3600)-HEBG;;
HRDF;HG-1-HEBG;;
H32RO;HG-HEBG;;
H31OR;HG-HEBG;;
HOBJ;HG-1-HEBG;;
H22OF;HG-HEBG;;
H21FU;HG-HEBG;;
HFRI;HOBJ-1-HEBG;;
H06FE;HG-HEBG;;
HQFR;HG-HEBG;;
H03EF;HG-HEBG;;
H04FE;HG-HEBG;;
H01EF;HG-HEBG;;
HEBGN;HG-HEBG;;
HEBG;HG-2-FK;;
HESW;HEBG-FWZN;;
FWZN;HEBG-2-FSPE;;
H003G;FWZN-FHED;;
H004G;FWZN-FHED;;
H006G;FWZN-FHED;;
FGTB;FWZN-FSPE;;
H005G;FWZN-FHED;;
YHFGH;FGTB-FHED;;
FQGT;FWZN-1-FHMD;;
FHED;FWZN-2-FHMD;;
F007D;FHED-FHMD;;
F008C;FHED-FHMD;;
FHMD;FHED-303-FSPE;;
F009A;FHMD-FSPE;;
FBOF;FHMD-FSPE;;
F010A;FHMD-FSPE;;
F011A;FHMD-FSPE;;
F012A;FHMD-FSPE;;
FSPE;FHMD-402-FIH;;
F135A;FSPE-FIH;;
F136A;FSPE-FIH;;
FQIHA;FSPE-FIH;;
FIH;FSPE-101-FKWNA;;
F189A;FIH-FKWNA;;
F188B;FIH-FKWNA;;
F199A;FIH-FKWNA;;
F198A;FIH-FKWNA;;
FKWNA;FIH-FKWNB;;
FKWNB;FKWNA-FKW;;
FKWK;FKWNB-FKW;;
FKW;;FKWNB-504-602-FKOA-1733;FKWNB-504-602-FKOA-1733
