RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR;;HSR O(1750-2)-305-HSR W(1750-2);HSR O(1750-2)-305-HSR W(1750-2)
HSR W;HSR O(1750-2)-005-HGUE(1750-2);;
H70SD;HSR W-HWUN;;
H71WS;HS  W-HWUN;;
H68SD;HS  W-HWUN;;
H69WS;HS  W-HWUN;;
HDED;HS  W-HWUN;;
HGUE;HS  W-HWUN(1751);;
H62GW;HGUE-HWUN;;
H65WG;HGUE-HWUN;;
HWUN;HGUE(1751)-21/1-HNBG(1740);;
H11WN;HWUN-HNBG;;
H12PW;HWUN-HNBG;;
H13WP;HWUN-HNBG;;
HPOG;HWUN-1-HNBG;;
HNRU;HWUN-1-HNBG;;
H31NE;HWUN-HNBG;;
H32EN;HWUN-HNBG;;
H33NE;HWUN-HNBG;;
HEIV;HWUN-HNBG;;
H34HE;HWUN-HNBG;;
H35NE;HWUN-HNBG;;
H37NE;HWUN-HNBG;;
H36NE;HWUN-HNBG;;
HHGH;HWUN-HNBG;;
HHAG;HWUN-1-HNBG;;
H41HL;HWUN-HNBG;;
H42LH;HWUN-HNBG;;
HLBU;HHAG-2-HNBG;;
H51LN;HWUN-HNBG;;
H52NL;HWUN-HNBG;;
H53LN;HWUN-HNBG;;
H54NL;HWUN-HNBG;;
H56NL;HWUN-HNBG;;
HNBG;HWUN-2-HV;;
H61NR;HNBG-HV;;
H62RN;HWUN-HB;;
H63NR;HWUN-HB;;
H64RN;HWUN-HB;;
HROR;HNBG-1-HV;;
H71RE;HWUN-HB;;
H72ER;HWUN-HB;;
H73RE;HWUN-HB;;
H74ER;HWUN-HB;;
H75RE;HWUN-HB;;
H76ER;HWUN-HB;;
HETR;HROR-2-HDVD;;
H81ED;HWUN-HB;;
H82DE;HWUN-HB;;
HDVD;HNBG-2-HV;;
H91DW;HWUN-HB;;
H92WD;HWUN-HB;;
HWAB;HDVD-HV;;
H95WV;HNBG-HV;;
H96VW;HNBG-HV;;
HV;HNBG-2/12-AROG 15;;
HWAL;HV-1-AROG;;
HHTM;HV-1-AROG;;
HWEW;HV-1-AROG;;
HUNT;HV-1-AROG;;
AROG;;HV-6-ABLZ (2200-1);HV-6-ABLZ (2200-1)
